I,S
1.87E+01,3.18E+05
1.79E+01,3.19E+05
1.67E+01,3.20E+05
1.52E+01,3.21E+05
1.35E+01,3.23E+05
1.20E+01,3.24E+05
1.06E+01,3.26E+05
9.40E+00,3.27E+05
8.46E+00,3.29E+05
7.75E+00,3.30E+05
7.25E+00,3.32E+05
6.93E+00,3.34E+05
6.78E+00,3.35E+05
6.79E+00,3.37E+05
6.98E+00,3.39E+05
7.36E+00,3.40E+05
8.00E+00,3.42E+05
8.97E+00,3.44E+05
1.04E+01,3.45E+05
1.24E+01,3.46E+05
1.53E+01,3.48E+05
1.93E+01,3.49E+05
2.44E+01,3.49E+05
3.08E+01,3.50E+05
3.82E+01,3.50E+05
4.60E+01,3.49E+05
5.32E+01,3.48E+05
5.87E+01,3.47E+05
6.17E+01,3.46E+05
6.17E+01,3.44E+05
3.42E+03,3.42E+05
5.48E+03,3.38E+05
5.20E+03,3.33E+05
4.50E+03,3.30E+05
3.79E+03,3.27E+05
3.18E+03,3.25E+05
2.68E+03,3.24E+05
2.29E+03,3.22E+05
2.00E+03,3.22E+05
1.79E+03,3.21E+05
1.65E+03,3.20E+05
1.57E+03,3.20E+05
1.53E+03,3.19E+05
1.53E+03,3.19E+05
1.56E+03,3.19E+05
1.62E+03,3.18E+05
1.70E+03,3.17E+05
1.79E+03,3.17E+05
1.89E+03,3.16E+05
1.97E+03,3.15E+05
2.03E+03,3.14E+05
2.03E+03,3.13E+05
1.99E+03,3.12E+05
1.89E+03,3.12E+05
1.75E+03,3.11E+05
1.58E+03,3.10E+05
1.40E+03,3.10E+05
1.22E+03,3.10E+05
1.07E+03,3.10E+05
9.38E+02,3.10E+05
8.34E+02,3.10E+05
7.56E+02,3.11E+05
7.00E+02,3.11E+05
6.63E+02,3.12E+05
6.45E+02,3.12E+05
6.42E+02,3.13E+05
6.56E+02,3.13E+05
6.89E+02,3.13E+05
7.46E+02,3.14E+05
8.35E+02,3.14E+05
9.65E+02,3.14E+05
1.15E+03,3.14E+05
1.42E+03,3.14E+05
1.78E+03,3.13E+05
2.25E+03,3.12E+05
2.84E+03,3.10E+05
3.52E+03,3.08E+05
4.23E+03,3.05E+05
4.89E+03,3.01E+05
5.38E+03,2.97E+05
5.63E+03,2.92E+05
5.60E+03,2.88E+05
5.31E+03,2.83E+05
4.82E+03,2.80E+05
4.24E+03,2.76E+05
3.63E+03,2.74E+05
3.06E+03,2.72E+05
2.57E+03,2.70E+05
2.17E+03,2.69E+05
1.86E+03,2.69E+05
1.62E+03,2.68E+05
1.46E+03,2.68E+05
1.34E+03,2.68E+05
1.28E+03,2.67E+05
1.25E+03,2.67E+05
1.25E+03,2.67E+05
1.27E+03,2.67E+05
1.32E+03,2.67E+05
1.39E+03,2.66E+05
1.47E+03,2.66E+05
1.55E+03,2.66E+05
1.62E+03,2.65E+05
1.66E+03,2.64E+05
1.67E+03,2.64E+05
1.63E+03,2.63E+05
1.55E+03,2.63E+05
1.44E+03,2.63E+05
1.30E+03,2.62E+05
1.15E+03,2.62E+05
1.01E+03,2.62E+05
8.87E+02,2.63E+05
7.80E+02,2.63E+05
6.95E+02,2.63E+05
6.31E+02,2.64E+05
5.85E+02,2.64E+05
5.56E+02,2.65E+05
5.40E+02,2.65E+05
5.39E+02,2.66E+05
5.51E+02,2.67E+05
5.79E+02,2.67E+05
6.27E+02,2.68E+05
7.00E+02,2.68E+05
8.09E+02,2.68E+05
9.66E+02,2.68E+05
1.19E+03,2.68E+05
1.49E+03,2.68E+05
1.88E+03,2.67E+05
2.38E+03,2.66E+05
2.95E+03,2.64E+05
3.54E+03,2.62E+05
4.09E+03,2.59E+05
4.51E+03,2.55E+05
4.73E+03,2.51E+05
4.71E+03,2.48E+05
4.47E+03,2.45E+05
4.06E+03,2.42E+05
3.57E+03,2.39E+05
3.06E+03,2.37E+05
2.59E+03,2.36E+05
2.18E+03,2.35E+05
1.84E+03,2.34E+05
1.58E+03,2.33E+05
1.38E+03,2.33E+05
1.24E+03,2.33E+05
1.15E+03,2.33E+05
1.09E+03,2.33E+05
1.06E+03,2.33E+05
1.07E+03,2.33E+05
1.09E+03,2.33E+05
1.13E+03,2.33E+05
1.19E+03,2.33E+05
1.26E+03,2.33E+05
1.33E+03,2.32E+05
1.39E+03,2.32E+05
1.43E+03,2.32E+05
1.44E+03,2.31E+05
1.41E+03,2.31E+05
1.34E+03,2.31E+05
1.24E+03,2.31E+05
1.12E+03,2.31E+05
9.99E+02,2.31E+05
8.77E+02,2.31E+05
